rank,side,term,tfidf
372,right,total_number,0.0178599441717
373,right,nothing_short,0.0178599441717
374,right,shariah_law,0.0178599441717
375,right,far_away,0.0178365978395
376,right,wednesday_afternoon,0.017789905175
377,right,house_floor,0.0177665588427
378,right,every_single_day,0.017696519846
379,right,platte_river,0.0176264808492
380,right,immigration_studies,0.0175797881847
381,right,stay_home,0.0175564418525
382,right,colin_powell,0.017509749188
383,right,26_percent,0.017509749188
384,right,late-term_abortions,0.017509749188
385,right,republican_lawmakers,0.0174864028557
386,right,local_authorities,0.0174630565235
387,right,federal_authorities,0.0174630565235
388,right,charles_krauthammer,0.017416363859
389,right,lena_dunham,0.017416363859
390,right,july_25_2016,0.0173930175267
391,right,political_insiders_2016,0.0173906013517
392,right,wan_na,0.0173696711945
393,right,also_pointed,0.0173696711945
394,right,front_door,0.0173463248622
395,right,even_better,0.0173463248622
396,right,overwhelming_majority,0.0172996321977
397,right,new_hampshire_primary,0.0172762858655
398,right,past_few_years,0.017229593201
399,right,assistant_secretary,0.017229593201
400,right,state_legislatures,0.0172062468687
401,right,march_22_2016,0.0172062468687
402,right,still_alive,0.0171829005365
403,right,state_dept,0.0171829005365
404,right,radical_islamists,0.0171829005365
405,right,immigration_system,0.0171829005365
406,right,russian_government,0.0171595542042
407,right,bill_de_blasio,0.0171595542042
408,right,tuesday_afternoon,0.0170661688752
409,right,twin_falls,0.0170661688752
410,right,local_governments,0.017042822543
411,right,reality_show,0.0170194762107
412,right,political_opponents,0.0170194762107
413,right,politico_reported,0.0170194762107
414,right,united_arab_emirates,0.0169961298785
415,right,research_note,0.0169961298785
416,right,august_6,0.0169727835462
417,right,almost_always,0.016949437214
418,right,iranian_regime,0.0169027445495
419,right,reports_indicate,0.0168793982172
420,right,ice_cream,0.016856051885
421,right,2016_presidential_election,0.0168327055527
422,right,global_economy,0.0168327055527
423,right,deutsche_bank,0.0168327055527
424,right,reminds_us,0.0168093592205
425,right,sanctions_relief,0.016762666556
426,right,29_percent,0.0167393202237
427,right,dont_worry,0.0167393202237
428,right,clarence_thomas,0.0167393202237
429,right,monday_evening,0.0167159738915
430,right,incident_took_place,0.0166926275592
431,right,selling_aborted_baby_parts,0.0166926275592
432,right,foreign_workers,0.0166926275592
433,right,green_cards,0.0166926275592
434,right,thursday_evening,0.0166926275592
435,right,comment_section,0.0166926275592
436,right,news_station,0.016669281227
437,right,september_22_2016,0.0166459348947
438,right,stark_contrast,0.0166225885625
439,right,gross_negligence,0.0166225885625
440,right,52_percent,0.0166225885625
441,right,top_10,0.0166225885625
442,right,conservative_principles,0.0165992422302
443,right,time_ago,0.0165992422302
444,right,july_28_2016,0.016575895898
445,right,us_state_department,0.016575895898
446,right,good_luck,0.016575895898
447,right,lets_hope,0.016575895898
448,right,every_bit,0.016575895898
449,right,second_quarter,0.0165525495657
450,right,know_better,0.0165292032334
451,right,fox_news_channels,0.0165058569012
452,right,partys_nominee,0.0164825105689
453,right,wolf_blitzer,0.0164591642367
454,right,blind_eye,0.0164358179044
455,right,weasel_zippers,0.0164358179044
456,right,wednesday_evening,0.0163891252399
457,right,boston_marathon,0.0163891252399
458,right,57_percent,0.0163424325754
459,right,market_share,0.0163424325754
460,right,future_generations,0.0163190862432
461,right,set_aside,0.0162723935787
462,right,video_clip,0.0162490472464
463,right,paula_jones,0.0162257009142
464,right,front_lines,0.0162257009142
465,right,53_percent,0.0162257009142
466,right,islamic_extremism,0.0162023545819
467,right,adolf_hitler,0.0162023545819
468,right,persian_gulf,0.0161790082497
469,right,anytime_soon,0.0161790082497
470,right,thursday_afternoon,0.0161790082497
471,right,last_minute,0.0161790082497
472,right,whose_name,0.0161790082497
473,right,social_justice_warriors,0.0161790082497
474,right,speaker_ryan,0.0161323155852
475,right,ny_times,0.0161323155852
476,right,56_percent,0.0161089692529
477,right,june_13_2016,0.0160856229207
478,right,34_percent,0.0160622765884
479,right,hong_kong,0.0160622765884
480,right,october_20_2016,0.0160622765884
481,right,decade_ago,0.0160389302562
482,right,behind_closed_doors,0.0160155839239
483,right,exact_opposite,0.0160155839239
484,right,growing_number,0.0159922375917
485,right,congressional_republicans,0.0159922375917
486,right,david_french,0.0159688912594
487,right,hill_reported,0.0159688912594
488,right,american_civil_liberties,0.0159455449272
489,right,migrant_crisis,0.0159455449272
490,right,democratic_voters,0.0159455449272
491,right,quid_pro_quo,0.0158988522627
492,right,mark_knoller_markknoller,0.0158988522627
493,right,told_reuters,0.0158988522627
494,right,big_banks,0.0158755059304
495,right,eminent_domain,0.0158521595982
496,right,march_11_2016,0.0158288132659
497,right,monday_afternoon,0.0158288132659
498,right,save_lives,0.0158054669337
499,right,merry_christmas,0.0158054669337
500,right,human_nature,0.0157821206014
501,right,wait_times,0.0157821206014
502,right,much_larger,0.0157587742692
503,right,miles_away,0.0157587742692
504,right,identity_politics,0.0157354279369
505,right,delegate_count,0.0157120816047
506,right,death_toll,0.0156887352724
507,right,article_originally_appeared,0.0156887352724
508,right,abortion_advocates,0.0156887352724
509,right,latest_breaking_trump,0.0156843536719
510,right,july_27_2016,0.0156653889402
511,right,last_few_years,0.0156420426079
512,right,conservative_tribune,0.0156420426079
513,right,critical_condition,0.0155953499434
514,right,gon_na_happen,0.0155720036112
515,right,audio_clip,0.0155720036112
516,right,turned_away,0.0155720036112
517,right,im_glad,0.0155720036112
518,right,first_lady_michelle_obama,0.0155019646144
519,right,left_wing,0.0155019646144
520,right,third-party_candidate,0.0154786182822
521,right,speaking_fees,0.0154786182822
522,right,alton_sterling,0.0154786182822
523,right,ground_game,0.0154552719499
524,right,religious_leaders,0.0154552719499
525,right,temple_mount,0.0154085792854
526,right,young_boy,0.0154085792854
527,right,stay_away,0.0154085792854
528,right,sounded_like,0.0153852329532
529,right,november_election,0.0153852329532
530,right,israeli_prime_minister_benjamin_netanyahu,0.0153618866209
531,right,right_direction,0.0153385402887
532,right,20_minutes,0.0153385402887
533,right,best_interest,0.0153151939564
534,right,ferguson_missouri,0.0152918476242
535,right,executive_amnesty,0.0152918476242
536,right,muslim_population,0.0152918476242
537,right,united_states_government,0.0152451549597
538,right,federal_records,0.0152451549597
539,right,ruling_class,0.0152218086274
540,right,inner_circle,0.0151984622952
541,right,october_29_2015,0.0151984622952
542,right,democratic_partys,0.0151751159629
543,right,since_2009,0.0151517696307
544,right,last_october,0.0151284232984
545,right,september_16_2016,0.0151284232984
546,right,selling_aborted_baby_body,0.0151265419304
